descricao;endereco;area;quartos;banheiros;vagas;valor;condominio;wlink
Apartamento com 2 Quartos à Venda, 75m²;Rua Guaipá, 49 - Vila Leopoldina, São Paulo - SP;75;2;2;1;R$ 735.000;R$ 726;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-leopoldina-zona-oeste-sao-paulo-com-garagem-75m2-venda-RS735000-id-2558535289/
Apartamento com 3 Quartos à Venda, 69m²;Rua Retiro, 145 - Tatuapé, São Paulo - SP;69;3;2;1;R$ 471.000;R$ 464;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tatuape-zona-leste-sao-paulo-com-garagem-69m2-venda-RS471000-id-2523541885/
Apartamento com 2 Quartos à Venda, 45m²;Rua Glicério, 301 - Liberdade, São Paulo - SP;45;2;1;1;R$ 354.000;R$ 390;https://www.vivareal.com.br/imovel/apartamento-2-quartos-liberdade-centro-sao-paulo-com-garagem-45m2-venda-RS354000-id-2564047872/
Apartamento com 2 Quartos à Venda, 103m²;Rua Getúlio Soares da Rocha, 152 - Jardim das Acacias, São Paulo - SP;103;2;4;2;R$ 1.800.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-zona-sul-sao-paulo-com-garagem-103m2-venda-RS1800000-id-2574058797/
Apartamento com 3 Quartos à Venda, 91m²;Rua Guandu, 44 - Vila Regente Feijó, São Paulo - SP;91;3;3;2;R$ 970.000;R$ 885;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-regente-feijo-zona-leste-sao-paulo-com-garagem-91m2-venda-RS970000-id-2565826275/
Apartamento com 3 Quartos à Venda, 131m²;Rua Leonardo Cerveira Varandas, 50 - Paraíso do Morumbi, São Paulo - SP;131;3;3;2;R$ 980.000;R$ 2.100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-paraiso-do-morumbi-zona-sul-sao-paulo-com-garagem-131m2-venda-RS980000-id-2564470238/
Apartamento com 2 Quartos à Venda, 105m²;Rua Michigan, 470 - Cidade Monções, São Paulo - SP;105;2;4;2;R$ 2.450.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-moncoes-zona-sul-sao-paulo-com-garagem-105m2-venda-RS2450000-id-2569954025/
Apartamento com 3 Quartos à Venda, 174m²;Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;174;3;5;2;R$ 2.980.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-174m2-venda-RS2980000-id-2554334983/
Apartamento com  Quarto à Venda, 66m²;Rua Funchal, 439 - Vila Olímpia, São Paulo - SP;66;1;2;1;R$ 1.250.000;R$ 1.260;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1250000-id-2563632970/
Apartamento com 2 Quartos à Venda, 58m²;Rua Pedro de Toledo, 541 - Vila Clementino, São Paulo - SP;58;2;2;1;R$ 660.000;R$ 1.150;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-clementino-zona-sul-sao-paulo-com-garagem-58m2-venda-RS660000-id-2569504175/
Apartamento com  Quarto à Venda, 40m²;Avenida Rebouças, 2636 - Pinheiros, São Paulo - SP;40;1;1;1;R$ 860.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-40m2-venda-RS860000-id-2563906526/
Apartamento com  Quarto à Venda, 32m²;Avenida Cotovia, 669 - Indianópolis, São Paulo - SP;32;1;1;--;R$ 526.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-zona-sul-sao-paulo-32m2-venda-RS526000-id-2569655528/
Apartamento com 4 Quartos à Venda, 176m²;Rua Tatuí - Jardim Paulista, São Paulo - SP;176;4;6;3;R$ 3.750.000;R$ 2.141;https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-176m2-venda-RS3750000-id-2564185169/
Apartamento com  Quarto à Venda, 54m²;Rua Padre Raposo, 33 - Móoca, São Paulo - SP;54;1;1;1;R$ 320.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-1-quartos-mooca-zona-leste-sao-paulo-com-garagem-54m2-venda-RS320000-id-2567023567/
Apartamento com 2 Quartos à Venda, 72m²;Rua Conselheiro Moreira de Barros, 2287 - Santana, São Paulo - SP;72;2;2;2;R$ 850.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-zona-norte-sao-paulo-com-garagem-72m2-venda-RS850000-id-2573688958/
Apartamento com 2 Quartos à Venda, 73m²;Rua Rio Grande, 678 - Vila Mariana, São Paulo - SP;73;2;1;1;R$ 955.500;R$ 1.300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-73m2-venda-RS955500-id-2563842765/
Apartamento com 2 Quartos à Venda, 65m²;Rua Avaí, 357 - Alto da Mooca, São Paulo - SP;65;2;2;2;R$ 820.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-mooca-zona-leste-sao-paulo-com-garagem-65m2-venda-RS820000-id-2572393028/
Apartamento com 2 Quartos à Venda, 90m²;Rua São Carlos do Pinhal, 345 - Bela Vista, São Paulo - SP;90;2;2;--;R$ 830.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-90m2-venda-RS830000-id-2571207889/
Apartamento com 3 Quartos à Venda, 68m²;Rua Piratininga, 201 - Brás, São Paulo - SP;68;3;2;1;R$ 640.000;R$ 542;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-68m2-venda-RS640000-id-2570357433/
Apartamento com 2 Quartos à Venda, 44m²;Rua Ptolomeu, 123 - Santo Amaro, São Paulo - SP;44;2;1;1;R$ 239.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-amaro-zona-sul-sao-paulo-com-garagem-44m2-venda-RS239000-id-2572233685/
BELLA VISTA PAULICEIA;Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP;47;2;1;--;R$ 485.000;;https://www.vivareal.com.br/imoveis-lancamento/bella-vista-pauliceia-2449512383/
Apartamento com 3 Quartos à Venda, 67m²;Rua Cipriano Barata, 2412 - Ipiranga, São Paulo - SP;67;3;1;1;R$ 450.000;R$ 980;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipiranga-zona-sul-sao-paulo-com-garagem-67m2-venda-RS450000-id-2573076359/
Apartamento com 2 Quartos à Venda, 138m²;Avenida Portugal, 1048 - Brooklin, São Paulo - SP;138;2;4;2;R$ 2.200.000;R$ 2.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-138m2-venda-RS2200000-id-2570969847/
Apartamento com 2 Quartos à Venda, 50m²;Avenida dos Ourives, 480 - Jardim São Savério, São Paulo - SP;50;2;1;1;R$ 219.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-saverio-zona-sul-sao-paulo-com-garagem-50m2-venda-RS219000-id-2565948627/
Apartamento com 2 Quartos à Venda, 106m²;Rua Gaivota - Moema, São Paulo - SP;106;2;3;2;R$ 2.700.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-zona-sul-sao-paulo-com-garagem-106m2-venda-RS2700000-id-2572139111/
Apartamento com 2 Quartos à Venda, 47m²;Rua Alessandro Alberti, 236 - Jardim Celeste, São Paulo - SP;47;2;1;1;R$ 280.000;R$ 420;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-celeste-zona-sul-sao-paulo-com-garagem-47m2-venda-RS280000-id-2548290986/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tito Lívio, 61 - Vila Paulista, São Paulo - SP;56;2;1;1;R$ 295.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-paulista-zona-sul-sao-paulo-com-garagem-56m2-venda-RS295000-id-2571331198/
Esquina Pauliceia - 35m²;Rua Francisca Miquelina, 237 - Bela Vista, São Paulo - SP;35;1;1;2;;;https://www.vivareal.com.br/imoveis-lancamento/esquina-pauliceia-35m-2553448767/
Apartamento com 2 Quartos à Venda, 80m²;Rua das Flechas, 686 - Vila Santa Catarina, São Paulo - SP;80;2;2;1;R$ 849.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-santa-catarina-zona-sul-sao-paulo-com-garagem-80m2-venda-RS849000-id-2566398439/
Apartamento com 2 Quartos à Venda, 65m²;Avenida Mascote - Vila Mascote, São Paulo - SP;65;2;2;2;R$ 495.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mascote-zona-sul-sao-paulo-com-garagem-65m2-venda-RS495000-id-2565586862/
Apartamento com 3 Quartos à Venda, 149m²;Rua São Felipe, 145 - Parque São Jorge, São Paulo - SP;149;3;4;2;R$ 1.650.000;R$ 1.500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-sao-jorge-zona-leste-sao-paulo-com-garagem-149m2-venda-RS1650000-id-2561205024/
Apartamento com 3 Quartos à Venda, 100m²;Rua Joaquim Morais, 210 - Vila Mascote, São Paulo - SP;100;3;3;2;R$ 879.999;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-mascote-zona-sul-sao-paulo-com-garagem-100m2-venda-RS879999-id-2509132721/
Apartamento com 2 Quartos à Venda, 62m²;Praça Francisco Sampaio Viana - Vila Guarani, São Paulo - SP;62;2;2;1;R$ 550.000;R$ 630;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-guarani-zona-sul-sao-paulo-com-garagem-62m2-venda-RS550000-id-2566759889/
Apartamento com 3 Quartos à Venda, 108m²;Rua Doutor Renato Paes de Barros, 319 - Itaim Bibi, São Paulo - SP;108;3;4;1;R$ 1.650.000;R$ 944;https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-108m2-venda-RS1650000-id-2554321985/
Art Paulista;Rua Aguiar de Barros, 36 - Bela Vista, São Paulo - SP;63-66;2;1;1;R$ 1.226.340;;https://www.vivareal.com.br/imoveis-lancamento/art-paulista-2482835749/
Apartamento com 2 Quartos à Venda, 75m²;Rua Guaipá, 49 - Vila Leopoldina, São Paulo - SP;75;2;2;1;R$ 735.000;R$ 726;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-leopoldina-zona-oeste-sao-paulo-com-garagem-75m2-venda-RS735000-id-2558535289/
Apartamento com 3 Quartos à Venda, 69m²;Rua Retiro, 145 - Tatuapé, São Paulo - SP;69;3;2;1;R$ 471.000;R$ 464;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tatuape-zona-leste-sao-paulo-com-garagem-69m2-venda-RS471000-id-2523541885/
Apartamento com 2 Quartos à Venda, 45m²;Rua Glicério, 301 - Liberdade, São Paulo - SP;45;2;1;1;R$ 354.000;R$ 390;https://www.vivareal.com.br/imovel/apartamento-2-quartos-liberdade-centro-sao-paulo-com-garagem-45m2-venda-RS354000-id-2564047872/
Apartamento com 2 Quartos à Venda, 103m²;Rua Getúlio Soares da Rocha, 152 - Jardim das Acacias, São Paulo - SP;103;2;4;2;R$ 1.800.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-zona-sul-sao-paulo-com-garagem-103m2-venda-RS1800000-id-2574058797/
Apartamento com 3 Quartos à Venda, 76m²;Avenida Professor Francisco Morato, 350 - Butantã, São Paulo - SP;76;3;2;1;R$ 1.032.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-butanta-zona-oeste-sao-paulo-com-garagem-76m2-venda-RS1032000-id-2563905418/
Apartamento com 3 Quartos à Venda, 91m²;Rua Guandu, 44 - Vila Regente Feijó, São Paulo - SP;91;3;3;2;R$ 970.000;R$ 885;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-regente-feijo-zona-leste-sao-paulo-com-garagem-91m2-venda-RS970000-id-2565826275/
Apartamento com 3 Quartos à Venda, 131m²;Rua Leonardo Cerveira Varandas, 50 - Paraíso do Morumbi, São Paulo - SP;131;3;3;2;R$ 980.000;R$ 2.100;https://www.vivareal.com.br/imovel/apartamento-3-quartos-paraiso-do-morumbi-zona-sul-sao-paulo-com-garagem-131m2-venda-RS980000-id-2564470238/
Apartamento com 2 Quartos à Venda, 105m²;Rua Michigan, 470 - Cidade Monções, São Paulo - SP;105;2;4;2;R$ 2.450.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-moncoes-zona-sul-sao-paulo-com-garagem-105m2-venda-RS2450000-id-2569954025/
Apartamento com 3 Quartos à Venda, 174m²;Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;174;3;5;2;R$ 2.980.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-174m2-venda-RS2980000-id-2554334983/
Apartamento com  Quarto à Venda, 66m²;Rua Funchal, 439 - Vila Olímpia, São Paulo - SP;66;1;2;1;R$ 1.250.000;R$ 1.260;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1250000-id-2563632970/
Apartamento com 2 Quartos à Venda, 58m²;Rua Pedro de Toledo, 541 - Vila Clementino, São Paulo - SP;58;2;2;1;R$ 660.000;R$ 1.150;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-clementino-zona-sul-sao-paulo-com-garagem-58m2-venda-RS660000-id-2569504175/
Apartamento com  Quarto à Venda, 40m²;Avenida Rebouças, 2636 - Pinheiros, São Paulo - SP;40;1;1;1;R$ 860.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-40m2-venda-RS860000-id-2563906526/
Apartamento com  Quarto à Venda, 32m²;Avenida Cotovia, 669 - Indianópolis, São Paulo - SP;32;1;1;--;R$ 526.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-zona-sul-sao-paulo-32m2-venda-RS526000-id-2569655528/
Apartamento com 4 Quartos à Venda, 176m²;Rua Tatuí - Jardim Paulista, São Paulo - SP;176;4;6;3;R$ 3.750.000;R$ 2.141;https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-176m2-venda-RS3750000-id-2564185169/
Apartamento com  Quarto à Venda, 54m²;Rua Padre Raposo, 33 - Móoca, São Paulo - SP;54;1;1;1;R$ 320.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-1-quartos-mooca-zona-leste-sao-paulo-com-garagem-54m2-venda-RS320000-id-2567023567/
Apartamento com 2 Quartos à Venda, 72m²;Rua Conselheiro Moreira de Barros, 2287 - Santana, São Paulo - SP;72;2;2;2;R$ 850.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-zona-norte-sao-paulo-com-garagem-72m2-venda-RS850000-id-2573688958/
Apartamento com 2 Quartos à Venda, 73m²;Rua Rio Grande, 678 - Vila Mariana, São Paulo - SP;73;2;1;1;R$ 955.500;R$ 1.300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-73m2-venda-RS955500-id-2563842765/
Apartamento com 2 Quartos à Venda, 65m²;Rua Avaí, 357 - Alto da Mooca, São Paulo - SP;65;2;2;2;R$ 820.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-mooca-zona-leste-sao-paulo-com-garagem-65m2-venda-RS820000-id-2572393028/
Apartamento com 2 Quartos à Venda, 90m²;Rua São Carlos do Pinhal, 345 - Bela Vista, São Paulo - SP;90;2;2;--;R$ 830.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-90m2-venda-RS830000-id-2571207889/
Apartamento com 3 Quartos à Venda, 68m²;Rua Piratininga, 201 - Brás, São Paulo - SP;68;3;2;1;R$ 640.000;R$ 542;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-68m2-venda-RS640000-id-2570357433/
Apartamento com 2 Quartos à Venda, 44m²;Rua Ptolomeu, 123 - Santo Amaro, São Paulo - SP;44;2;1;1;R$ 239.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santo-amaro-zona-sul-sao-paulo-com-garagem-44m2-venda-RS239000-id-2572233685/
BELLA VISTA PAULICEIA;Rua Francisca Miquelina, 277 - Bela Vista, São Paulo - SP;47;2;1;--;R$ 485.000;;https://www.vivareal.com.br/imoveis-lancamento/bella-vista-pauliceia-2449512383/
Apartamento com 3 Quartos à Venda, 67m²;Rua Cipriano Barata, 2412 - Ipiranga, São Paulo - SP;67;3;1;1;R$ 450.000;R$ 980;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipiranga-zona-sul-sao-paulo-com-garagem-67m2-venda-RS450000-id-2573076359/
Apartamento com  Quarto à Venda, 66m²;Rua Funchal, 439 - Vila Olímpia, São Paulo - SP;66;1;2;1;R$ 1.250.000;R$ 1.260;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1250000-id-2563632970/
Apartamento com 2 Quartos à Venda, 138m²;Avenida Portugal, 1048 - Brooklin, São Paulo - SP;138;2;4;2;R$ 2.200.000;R$ 2.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-138m2-venda-RS2200000-id-2570969847/
Apartamento com 2 Quartos à Venda, 50m²;Avenida dos Ourives, 480 - Jardim São Savério, São Paulo - SP;50;2;1;1;R$ 219.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-saverio-zona-sul-sao-paulo-com-garagem-50m2-venda-RS219000-id-2565948627/
Apartamento com 2 Quartos à Venda, 106m²;Rua Gaivota - Moema, São Paulo - SP;106;2;3;2;R$ 2.700.000;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-zona-sul-sao-paulo-com-garagem-106m2-venda-RS2700000-id-2572139111/
Apartamento com 2 Quartos à Venda, 47m²;Rua Alessandro Alberti, 236 - Jardim Celeste, São Paulo - SP;47;2;1;1;R$ 280.000;R$ 420;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-celeste-zona-sul-sao-paulo-com-garagem-47m2-venda-RS280000-id-2548290986/
Esquina Pauliceia - 35m²;Rua Francisca Miquelina, 237 - Bela Vista, São Paulo - SP;35;1;1;2;;;https://www.vivareal.com.br/imoveis-lancamento/esquina-pauliceia-35m-2553448767/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tito Lívio, 61 - Vila Paulista, São Paulo - SP;56;2;1;1;R$ 295.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-paulista-zona-sul-sao-paulo-com-garagem-56m2-venda-RS295000-id-2571331198/
Apartamento com 2 Quartos à Venda, 80m²;Rua das Flechas, 686 - Vila Santa Catarina, São Paulo - SP;80;2;2;1;R$ 849.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-santa-catarina-zona-sul-sao-paulo-com-garagem-80m2-venda-RS849000-id-2566398439/
Apartamento com 2 Quartos à Venda, 65m²;Avenida Mascote - Vila Mascote, São Paulo - SP;65;2;2;2;R$ 495.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mascote-zona-sul-sao-paulo-com-garagem-65m2-venda-RS495000-id-2565586862/
Apartamento com 3 Quartos à Venda, 149m²;Rua São Felipe, 145 - Parque São Jorge, São Paulo - SP;149;3;4;2;R$ 1.650.000;R$ 1.500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-sao-jorge-zona-leste-sao-paulo-com-garagem-149m2-venda-RS1650000-id-2561205024/
Apartamento com 3 Quartos à Venda, 100m²;Rua Joaquim Morais, 210 - Vila Mascote, São Paulo - SP;100;3;3;2;R$ 879.999;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-mascote-zona-sul-sao-paulo-com-garagem-100m2-venda-RS879999-id-2509132721/
Apartamento com 2 Quartos à Venda, 62m²;Praça Francisco Sampaio Viana - Vila Guarani, São Paulo - SP;62;2;2;1;R$ 550.000;R$ 630;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-guarani-zona-sul-sao-paulo-com-garagem-62m2-venda-RS550000-id-2566759889/
Art Paulista;Rua Aguiar de Barros, 36 - Bela Vista, São Paulo - SP;63-66;2;1;1;R$ 1.226.340;;https://www.vivareal.com.br/imoveis-lancamento/art-paulista-2482835749/
Apartamento com 3 Quartos à Venda, 108m²;Rua Doutor Renato Paes de Barros, 319 - Itaim Bibi, São Paulo - SP;108;3;4;1;R$ 1.650.000;R$ 944;https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaim-bibi-zona-sul-sao-paulo-com-garagem-108m2-venda-RS1650000-id-2554321985/
Apartamento com 2 Quartos à Venda, 75m²;Rua Guaipá, 49 - Vila Leopoldina, São Paulo - SP;75;2;2;1;R$ 735.000;R$ 726;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-leopoldina-zona-oeste-sao-paulo-com-garagem-75m2-venda-RS735000-id-2558535289/
Apartamento com 2 Quartos à Venda, 45m²;Rua Glicério, 301 - Liberdade, São Paulo - SP;45;2;1;1;R$ 354.000;R$ 390;https://www.vivareal.com.br/imovel/apartamento-2-quartos-liberdade-centro-sao-paulo-com-garagem-45m2-venda-RS354000-id-2564047872/
Apartamento com 2 Quartos à Venda, 103m²;Rua Getúlio Soares da Rocha, 152 - Jardim das Acacias, São Paulo - SP;103;2;4;2;R$ 1.800.000;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-zona-sul-sao-paulo-com-garagem-103m2-venda-RS1800000-id-2574058797/
Apartamento com 3 Quartos à Venda, 76m²;Avenida Professor Francisco Morato, 350 - Butantã, São Paulo - SP;76;3;2;1;R$ 1.032.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-butanta-zona-oeste-sao-paulo-com-garagem-76m2-venda-RS1032000-id-2563905418/
Apartamento com 3 Quartos à Venda, 91m²;Rua Guandu, 44 - Vila Regente Feijó, São Paulo - SP;91;3;3;2;R$ 970.000;R$ 885;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-regente-feijo-zona-leste-sao-paulo-com-garagem-91m2-venda-RS970000-id-2565826275/
Apartamento com 2 Quartos à Venda, 105m²;Rua Michigan, 470 - Cidade Monções, São Paulo - SP;105;2;4;2;R$ 2.450.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-moncoes-zona-sul-sao-paulo-com-garagem-105m2-venda-RS2450000-id-2569954025/
Apartamento com 3 Quartos à Venda, 174m²;Rua Ministro Godói, 664 - Perdizes, São Paulo - SP;174;3;5;2;R$ 2.980.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-perdizes-zona-oeste-sao-paulo-com-garagem-174m2-venda-RS2980000-id-2554334983/
Apartamento com 2 Quartos à Venda, 58m²;Rua Pedro de Toledo, 541 - Vila Clementino, São Paulo - SP;58;2;2;1;R$ 660.000;R$ 1.150;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-clementino-zona-sul-sao-paulo-com-garagem-58m2-venda-RS660000-id-2569504175/
Apartamento com  Quarto à Venda, 40m²;Avenida Rebouças, 2636 - Pinheiros, São Paulo - SP;40;1;1;1;R$ 860.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-40m2-venda-RS860000-id-2563906526/
Apartamento com  Quarto à Venda, 32m²;Avenida Cotovia, 669 - Indianópolis, São Paulo - SP;32;1;1;--;R$ 526.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-zona-sul-sao-paulo-32m2-venda-RS526000-id-2569655528/
Apartamento com 4 Quartos à Venda, 176m²;Rua Tatuí - Jardim Paulista, São Paulo - SP;176;4;6;3;R$ 3.750.000;R$ 2.141;https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-paulista-zona-sul-sao-paulo-com-garagem-176m2-venda-RS3750000-id-2564185169/
Apartamento com  Quarto à Venda, 54m²;Rua Padre Raposo, 33 - Móoca, São Paulo - SP;54;1;1;1;R$ 320.000;R$ 640;https://www.vivareal.com.br/imovel/apartamento-1-quartos-mooca-zona-leste-sao-paulo-com-garagem-54m2-venda-RS320000-id-2567023567/
Apartamento com 3 Quartos à Venda, 110m²;Rua Cristiano Viana, 211 - Cerqueira César, São Paulo - SP;110;3;3;1;R$ 1.489.000;R$ 1.420;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-110m2-venda-RS1489000-id-2565836732/
Apartamento com 2 Quartos à Venda, 72m²;Rua Conselheiro Moreira de Barros, 2287 - Santana, São Paulo - SP;72;2;2;2;R$ 850.000;R$ 950;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santana-zona-norte-sao-paulo-com-garagem-72m2-venda-RS850000-id-2573688958/
Apartamento com 3 Quartos à Venda, 69m²;Rua Retiro, 145 - Tatuapé, São Paulo - SP;69;3;2;1;R$ 471.000;R$ 464;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tatuape-zona-leste-sao-paulo-com-garagem-69m2-venda-RS471000-id-2523541885/
Apartamento com 2 Quartos à Venda, 73m²;Rua Rio Grande, 678 - Vila Mariana, São Paulo - SP;73;2;1;1;R$ 955.500;R$ 1.300;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-mariana-zona-sul-sao-paulo-com-garagem-73m2-venda-RS955500-id-2563842765/
Apartamento com 2 Quartos à Venda, 65m²;Rua Avaí, 357 - Alto da Mooca, São Paulo - SP;65;2;2;2;R$ 820.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-mooca-zona-leste-sao-paulo-com-garagem-65m2-venda-RS820000-id-2572393028/
Apartamento com 2 Quartos à Venda, 75m²;Rua Doutor Chibata Miyakoshi - Panamby, São Paulo - SP;75;2;2;2;R$ 742.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-2-quartos-panamby-zona-sul-sao-paulo-com-garagem-75m2-venda-RS742000-id-2489921773/
Apartamento com 3 Quartos à Venda, 68m²;Rua Piratininga, 201 - Brás, São Paulo - SP;68;3;2;1;R$ 640.000;R$ 542;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bras-zona-leste-sao-paulo-com-garagem-68m2-venda-RS640000-id-2570357433/
